tconst,rating,seasonNumber
tt0081826,6.2,0
tt0202179,6.9,11
tt0176357,7.8,1
tt0806910,7.2,1
tt0081837,7.6,1
tt0083395,6.8,1
tt0081843,7.6,1
tt0176357,7.8,1
tt0165592,7.7,11
tt0075471,8.3,3
tt0176357,7.8,2
tt0083464,7.4,1
tt0159876,7.9,0
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0053510,8.1,0
tt0176357,7.8,1
tt0046593,8.6,28
tt0159876,7.9,12
tt0165592,7.7,13
tt0176357,7.8,1
tt1012950,7.1,1
tt0969784,7.6,2
tt0176357,7.8,1
tt0176357,7.8,1
tt0202179,6.9,12
tt0080231,7.8,1
tt0165592,7.7,12
tt0085032,6.6,1
tt0762803,6.8,8
tt0165592,7.7,13
tt0199214,8.5,2
tt0169446,8,0
tt1012950,7.1,5
tt0176357,7.8,1
tt0083437,6.9,1
tt0165593,7.7,15
tt0176357,7.8,1
tt0176357,7.8,1
tt0176357,7.8,1
tt0259794,7.8,1
tt0846838,8.7,1
tt0846838,8.7,1
tt0176357,7.8,1
tt1012950,7.1,4
tt0806910,7.2,1
tt0806910,7.2,1
tt0083486,6,1
tt0046593,8.6,28
tt0083488,8.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0165592,7.7,12
tt0046593,8.6,28
tt0176357,7.8,1
tt0075474,6.2,7
tt0806901,6.5,13
tt0806910,7.2,1
tt0176357,7.8,3
tt0085002,4.9,1
tt0176357,7.8,2
tt0176357,7.8,2
tt0176357,7.8,2
tt1287866,5.5,1
tt0075471,8.3,6
tt0096552,4.9,0
tt0165593,7.7,16
tt0159876,7.9,11
tt0270639,7.8,0
tt0085051,6.6,1
tt0085055,8,1
tt0176357,7.8,4
tt2286153,7.5,1
tt0176357,7.8,2
tt0202179,6.9,13
tt0199214,8.5,3
tt0167732,6.4,1
tt0086791,8.5,1
tt0176357,7.8,2
tt0085084,7.1,1
tt0085088,7.1,1
tt0147770,7.6,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0176357,7.8,3
tt2158111,6.6,1
tt0147770,7.6,1
tt0199184,8.8,0
tt0086678,8,1
tt0080231,7.8,1
tt0199214,8.5,4
tt0176357,7.8,3
tt0147770,7.6,1
tt0086690,8.1,1
tt0147770,7.6,1
tt0985040,7.3,1
tt0147770,7.6,1
tt0199214,8.5,4
tt0086712,6.5,1
tt0176357,7.8,5
tt0806910,7.2,1
tt0176357,7.8,3
tt0086722,6.1,1
tt0176357,7.8,4
tt0167732,6.4,1
tt0176357,7.8,3
tt0985040,7.3,2
tt0086733,7.4,1
tt0086734,6.8,1
tt0147770,7.6,1
tt0176357,7.8,3
tt0147770,7.6,1
tt0147770,7.6,1
tt0199214,8.5,6
tt0167732,6.4,1
tt0167732,6.4,1
tt0086759,7.5,1
tt0806910,7.2,1
tt0086765,6.9,1
tt0167732,6.4,1
tt0176357,7.8,4
tt0167732,6.4,1
tt2158111,6.6,1
tt2158111,6.6,1
tt0167732,6.4,1
tt0167732,6.4,1
tt0176357,7.8,3
tt0176357,7.8,3
tt0176357,7.8,5
tt0167732,6.4,1
tt0846838,8.7,1
tt0846838,8.7,1
tt0165592,7.7,13
tt0176357,7.8,4
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0147770,7.6,1
tt0806901,6.5,20
tt0167732,6.4,1
tt0167732,6.4,1
tt0297626,6.8,1
tt0165592,7.7,14
tt0149504,6.6,1
tt0088655,6.7,1
tt0088655,6.7,1
tt0820333,7.1,1
tt0167732,6.4,1
tt0176357,7.8,5
tt0088476,7.7,1
tt0088622,7.1,1
tt0046593,8.6,31
tt0806910,7.2,1
tt0985040,7.3,3
tt1729107,8.9,1
tt0297626,6.8,2
tt0297626,6.8,3
tt0176357,7.8,4
tt0147770,7.6,1
tt0088495,6.5,1
tt0297626,6.8,1
tt0088507,7.7,1
tt0159876,7.9,0
tt0159876,7.9,0
tt0297626,6.8,2
tt0159876,7.9,13
tt0088558,7.2,1
tt0167732,6.4,1
tt0297626,6.8,2
tt0078657,7.8,6
tt0088568,7.4,1
tt0159876,7.9,15
tt0088571,7.6,1
tt0176357,7.8,4
tt0176357,7.8,0
tt2286153,7.5,1
tt0167732,6.4,1
tt0297626,6.8,2
tt0806910,7.2,1
tt0806901,6.5,8
tt0088606,7.9,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0176357,7.8,4
tt0297626,6.8,2
tt0248656,6.8,1
tt0176357,7.8,4
tt1287866,5.5,0
tt0080231,7.8,1
tt0167732,6.4,1
tt0176357,7.8,6
tt0046593,8.6,31
tt0820333,7.1,2
tt0083486,6,5
tt0190210,7.6,1
tt0046593,8.6,30
tt0088622,7.1,1
tt0297626,6.8,3
tt0090410,8.4,1
tt0090481,7.1,1
tt0364151,8.1,2
tt1686687,7.9,0
tt0297626,6.8,3
tt0046593,8.6,30
tt0820333,7.1,2
tt0046593,8.6,30
tt0167732,6.4,1
tt0090445,7.9,1
tt0046593,8.6,30
tt0046593,8.6,31
tt0297626,6.8,2
tt0046593,8.6,30
tt0364151,8.1,2
tt0090460,7.3,1
tt0090466,7,1
tt0090469,7.8,1
tt0884889,7.7,1
tt0046593,8.6,31
tt0985040,7.3,4
tt0046593,8.6,31
tt0167732,6.4,1
tt0806901,6.5,18
tt0046593,8.6,30
